name	iso_3166	who_member_state	who_region	completed_jee	completed_naphs	published_naphs	naphs_includes_line_item_costs	naphs_data_machine_readable
Sri Lanka	LKA	TRUE	South-East Asia Region	TRUE	TRUE	TRUE	FALSE	FALSE
Sudan	SDN	TRUE	Eastern Mediterranean Region	TRUE	TRUE	FALSE	NA	NA
Suriname	SUR	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Sweden	SWE	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Switzerland	CHE	TRUE	European Region	TRUE	FALSE	FALSE	NA	NA
Syria	SYR	TRUE	Eastern Mediterranean Region	FALSE	FALSE	NA	NA	NA
Tajikistan	TJK	TRUE	European Region	TRUE	FALSE	FALSE	NA	NA
Tanzania	TZA	TRUE	African Region	TRUE	TRUE	TRUE	FALSE	FALSE
Thailand	THA	TRUE	South-East Asia Region	TRUE	TRUE	FALSE	NA	NA
Timor-Leste	TLS	TRUE	South-East Asia Region	TRUE	TRUE	TRUE	TRUE	FALSE
Togo	TGO	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Tonga	TON	TRUE	Western Pacific Region	FALSE	FALSE	NA	NA	NA
Trinidad and Tobago	TTO	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Tunisia	TUN	TRUE	Eastern Mediterranean Region	TRUE	TRUE	FALSE	NA	NA
Turkey (Turkiye)	TUR	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Turkmenistan	TKM	TRUE	European Region	TRUE	TRUE	FALSE	NA	NA
Tuvalu	TUV	TRUE	Western Pacific Region	FALSE	FALSE	NA	NA	NA
Uganda	UGA	TRUE	African Region	TRUE	TRUE	TRUE	TRUE	FALSE
Ukraine	UKR	TRUE	European Region	FALSE	TRUE	FALSE	NA	NA
United Arab Emirates	ARE	TRUE	Eastern Mediterranean Region	TRUE	TRUE	FALSE	NA	NA
United Kingdom	GBR	TRUE	European Region	FALSE	FALSE	NA	NA	NA
United States of America	USA	TRUE	Region of the Americas	TRUE	TRUE	TRUE	FALSE	FALSE
Uruguay	URY	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Uzbekistan	UZB	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Vanuatu	VUT	TRUE	Western Pacific Region	FALSE	FALSE	NA	NA	NA
Venezuela	VEN	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Vietnam	VNM	TRUE	Western Pacific Region	TRUE	TRUE	FALSE	NA	NA
Yemen	YEM	TRUE	Eastern Mediterranean Region	FALSE	FALSE	NA	NA	NA
Zambia	ZMB	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Zimbabwe	ZWE	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
